Gene	C	Z	Pval	FDR
MAP4	0.0028262745912184125	2.771886735591118	0.0027866212563103163	0.003782743786846583
PXN	0.0023182984538857	2.7604272445838824	0.002886290704179803	0.0039144991467176355
RNF2	0.0030534953170541193	2.7480490687786996	0.0029975518145196555	0.004061723325907392
IPO5	0.002953548730794151	2.7452823816085883	0.0030229425196420146	0.004092431208901644
ZCCHC3	0.003249290714614499	2.732814884485503	0.0031397807321815767	0.004246772856873188
ZNF326	0.0028116325940600695	2.73216153888104	0.003146014132080053	0.0042513704487568285
YLPM1	0.002413532004834583	2.722328851390839	0.0032411800427249006	0.00437603066074469
BAK1	0.002536594412608999	2.717746568326217	0.0032864080774545326	0.004433104421026798
ATF2	0.002810245506318453	2.7063028390191284	0.0034018484737184302	0.004584701447059879
WDR12	0.00327925577835628	2.7029993183208223	0.003435844364799174	0.004626361352961185
RPA1	0.003072157766474831	2.6962813663819856	0.0035059205435490634	0.004716485036164659
GOLGA2	0.002891437343664087	2.6952445407305037	0.00351684945673205	0.004726948194532325
TMEM101	0.0028617713100750563	2.6809282557002776	0.003670912728315171	0.0049296052752665675
FAM53C	0.002718628305109166	2.6787694456370614	0.003694662672685517	0.0049570608309734135
PREPL	0.0027377279534583463	2.669636667265547	0.0037966682091220825	0.005089367572549708
RNF187	0.0026643879337986676	2.665706227686222	0.003841339743272514	0.005144651441882831
TNKS	0.0027760957921152845	2.664258284870229	0.003857914748760315	0.005162240966227005
HUWE1	0.0024255099299340735	2.663378179244555	0.003868020854867724	0.00517115087549161
HTT	0.0021479668877691835	2.6614269205433336	0.003890511482999334	0.005196587020925201
NSUN2	0.003002564526280965	2.6438300709569393	0.004098689911785428	0.0054697819107456785
SP1	0.002531602606144314	2.640860660438076	0.004134786122097181	0.005513048162796241
TSPYL5	0.0029030453481657783	2.635420224926765	0.004201658815468344	0.005597236432684295
SYNCRIP	0.002938264327858946	2.6286315559485978	0.004286459437642942	0.005705136784795398
CLSTN3	0.0028956085480221845	2.6273394800073624	0.004302771639320554	0.005721770796968822
ATL2	0.0021754621410098847	2.614645910451035	0.004466000019933685	0.005933569557042097
IKBKB	0.0021563396186486104	2.593591959808016	0.004748956761335383	0.0063039249044275
TLK1	0.0028118167730643955	2.5923191472118683	0.0047665644731134035	0.006321703545243241
GLB1	0.0032522716684367505	2.5918981065216777	0.004772401826007929	0.00632385400972782
UBAP2L	0.0030005409280738854	2.5845309782960744	0.004875577215171683	0.006454868334296138
PITHD1	0.0029123363103167317	2.5830165900305038	0.004897030663133581	0.006477553787213731
MDM2	0.002413965856880578	2.5726734262170927	0.00504581907870356	0.006668483363925409
ELK1	0.0027717750652189368	2.5667489051959267	0.005132845959586485	0.006777525474806099
IFNGR2	0.002714535999822316	2.565804761851079	0.005146837477519727	0.006790023057413888
NBN	0.002584307652402669	2.5515682222005722	0.005361966333796887	0.007067618190417689
PSME3	0.00293992610150451	2.5418884200813765	0.005512768233172233	0.00726001084263244
GPBP1L1	0.0028509809020807516	2.5251939501506464	0.005781722600164029	0.007607529737057933
GPN1	0.0027291997342790775	2.524415065806088	0.005794550279305993	0.007617726046414539
TXNRD1	0.0029351673396418414	2.521915677417036	0.005835884157290645	0.007665346966668974
ALDH7A1	0.0026013671800715673	2.5035382077876607	0.006147920172153958	0.008068136708863461
UBE2D2	0.002895199912605272	2.4991385266773243	0.0062247817593368135	0.008161864194934632
RCOR3	0.0020997956757050754	2.4961323030399813	0.006277788128065507	0.00822417658698538
NFKB2	0.002201290851294958	2.4867017850053377	0.006446671374651495	0.008438051537501956
TERF1	0.0026200758177504003	2.484375595677736	0.006488942239294978	0.008485975029592386
DHX9	0.002921406993563883	2.4817193868588436	0.006537509793182506	0.008542042412694913
BRAF	0.0019778230040473424	2.48051884406557	0.006559566457770452	0.008563402686384402
MAP2K1	0.002145470447338289	2.475375308496064	0.00665481143237528	0.00868018882483732
CD2AP	0.002914636325146566	2.4530119063126996	0.0070832824772217255	0.009231037111931007
PURB	0.002620101780344433	2.4507219713109354	0.007128501394883428	0.00928190285792113
SF3B3	0.0028247097087631544	2.4491113831695475	0.007160457742713204	0.009315426378204514
IMMT	0.0026161706358872362	2.4421502108405555	0.007300035200985522	0.009488780590535775
FZD6	0.003077884353703518	2.4394692175255317	0.0073544278798913605	0.009551205038819949
U2AF2	0.002485436211547992	2.4373067214485276	0.007398561105339443	0.00960020904672073
STAU2	0.002525533847572381	2.419604584981102	0.00776869602819671	0.01007177531745468
UFC1	0.0026010283928253053	2.3954095005455796	0.008300906020518098	0.010752468938494944
RABL6	0.002572069344622808	2.3866329244042768	0.008501729645681232	0.011003101353340681
CACUL1	0.002582829493128106	2.362169828433353	0.009084158552634716	0.011746756749096615
PAIP2	0.0023533830838287882	2.3611959955382424	0.009108050184885936	0.011767506698819038
RELA	0.002199695055410808	2.359417816832578	0.009151817295833668	0.01181387774849441
PIK3C3	0.0023567192665034415	2.3588042772783204	0.00916696128664907	0.011823251874439902
CEP170	0.0019438084655218383	2.3408734787674024	0.009619342747669318	0.012396060241841905
BCR	0.002123078574143781	2.322260793620359	0.010109448637280301	0.013016457472893093
PMS1	0.002379114241747884	2.3145106710900865	0.010319863295407333	0.013275981940918525
PANK2	0.002910322873799208	2.3112934141358425	0.010408326775383865	0.013378312050621935
UBE4B	0.002537355196515354	2.309027472568453	0.010471028403381096	0.01344738236735586
LZIC	0.0023460767621495708	2.307315133622561	0.010518629230275228	0.013496957951593534
JDP2	0.0020653383665810935	2.2988205376491173	0.01075756604707594	0.013784422516678463
WBP2	0.0020461954939308765	2.2986982785672003	0.010761039178020319	0.013784422516678463
TMX2	0.0024135915961962517	2.296704839351055	0.010817806601089315	0.013845315615728646
CRK	0.0024370170327492136	2.2953095458088972	0.01085769547340711	0.01388452106573799
PRKAG1	0.0022791385188075945	2.2874031991279478	0.011086149870999092	0.014164586717630868
SMARCAD1	0.0022795275907058436	2.2848716890103717	0.011160176262892773	0.014244381118798959
NCBP3	0.002160280466836365	2.2846188000666277	0.011167594797138384	0.014244381118798959
DDI2	0.0024247805534075182	2.281829980330983	0.011249690015703325	0.014336903163598121
POLR2M	0.002248630414135358	2.276270762353056	0.011414904460557066	0.014535107547398642
UBA1	0.0020541301727054493	2.2742497994956614	0.01147548579562951	0.014599854701818715
EIF4E	0.002418589698089151	2.2706902916350944	0.011582866572956532	0.014723982931724406
ARHGAP35	0.002044807642246457	2.26236458910563	0.011837443433370842	0.01503485618125001
IFNG	0.001269933729367955	2.2601919843804628	0.011904669064581664	0.015107448051499573
PTBP1	0.002628586000166301	2.255906967544397	0.012038229041832146	0.01526402668026054
PITPNB	0.00204916262361115	2.2527534760405796	0.012137348553996365	0.015376708472123773
NT5C2	0.001927841456819204	2.2500535752150954	0.012222772298857498	0.01547186366943987
MAP2K4	0.0022315123540300585	2.24159089829787	0.012493912381322556	0.01580174415850239
TXNDC9	0.0023881158142855857	2.240964734545707	0.012514179713331392	0.015814043445658878
MAPK1	0.0018865812757899137	2.238386854414586	0.012597919267134935	0.015906463721129967
AIMP2	0.002496826897299926	2.231018942188168	0.012839937155878249	0.016198406840889298
CD40	0.002377086570795803	2.2230495883382315	0.01310622819202791	0.016520455704236863
CBWD2	0.0020502033943768693	2.2029064273331698	0.013800672261988308	0.01738119932240341
SRSF2	0.0023989196654483516	2.189990102824662	0.014262477304632962	0.017947748286031413
FIBP	0.002435998412548314	2.1746960734101055	0.01482644967231198	0.018641805958481115
ALKBH5	0.002250840199021704	2.172212188024487	0.014919830896188558	0.01874350615099065
LRRC47	0.0021715616938612174	2.16691695194186	0.015120593559143273	0.018979824551225866
NEK4	0.002738462799896971	2.1658549329069547	0.015161137029469144	0.019014803966725516
IPO11	0.002455225029814541	2.1562820072690685	0.015530825678301318	0.01946218756679363
PAK4	0.0022384739773675354	2.154714426191066	0.015592094099258462	0.019522655383044818
CDK17	0.0018439222639068992	2.149414482348201	0.015800779219264777	0.01976575048015699
SCRN1	0.0021972033922226294	2.1491160627085377	0.015812600384125592	0.01976575048015699
MSH6	0.002302922314939018	2.139028959661038	0.016216661527240397	0.02025394861853505
TAB2	0.0018396940199496205	2.134577487242201	0.016397768995832104	0.020463106068010113
PSMD4	0.0022831433544735127	2.1285313228311313	0.01664652789269648	0.02075626919288838
RC3H2	0.002437452901985069	2.1224895811075406	0.016898323352534696	0.02105272842923758
SMC3	0.0020874266831140908	2.1220286774417976	0.016917664960819853	0.0210593339761243
POMGNT1	0.0023692315810879203	2.1200961812403745	0.016998967472617414	0.02114299436892713
ANKRD13A	0.001883739926980144	2.117068809012864	0.017127004202526244	0.021284595114987048
MRE11	0.0022010668560086934	2.109245552336897	0.01746169592292843	0.021678221559612403
XRCC6	0.002263857513318337	2.108991756928169	0.0174726465770476	0.021678221559612403
PRF1	0.0008690034380769943	2.1062950776226166	0.017589364315806558	0.02180499708571061
AIFM1	0.002218160015861115	2.0959671132539888	0.018042554189907637	0.022348333018052398
CSNK1A1	0.002057882509662026	2.0942092152630654	0.018120673614955365	0.022426576256132875
EIF4A3	0.0020001364960490304	2.0580333221172196	0.01979346739939171	0.024476670320764688
DCTN1	0.0018460062513158593	2.0557251613608787	0.019904507605555267	0.024593707914607
POLDIP2	0.002455264302221519	2.0550850946982866	0.01993539316469489	0.024611596499623318
GFPT1	0.001986331951393307	2.042207545413267	0.020565474171010647	0.025368594783319057
CDK16	0.0024082418550708745	2.033286799639597	0.02101177801248852	0.025897836498547887
TCF3	0.0023428938746146745	2.031053064050153	0.02112480599452297	0.02601577092921548
