dataset,dataset_label,sample_id,sample_short,n_spots,metric,value
GSE288483,GSE288483,GSM8768682_Pt1-4,Pt1-4,1393,mregDC~TLS imprint,0.288732422176261
GSE288483,GSE288483,GSM8768682_Pt1-4,Pt1-4,1393,mregDC~antigen-presentation/MHC-II,0.392749363862277
GSE288483,GSE288483,GSM8768682_Pt1-4,Pt1-4,1393,TLS~antigen-presentation/MHC-II,0.391868178364463
GSE288483,GSE288483,GSM8768682_Pt1-4,Pt1-4,1393,TLS/mregDC co-high O/E,3.76678571428571
GSE288483,GSE288483,GSM8768683_Pt2-1,Pt2-1,1833,mregDC~TLS integrated,0.264022994905691
GSE288483,GSE288483,GSM8768683_Pt2-1,Pt2-1,1833,mregDC~TLS 12CK,0.347394164597641
GSE288483,GSE288483,GSM8768683_Pt2-1,Pt2-1,1833,mregDC~TLS imprint,0.141938245809971
GSE288483,GSE288483,GSM8768683_Pt2-1,Pt2-1,1833,mregDC~antigen-presentation/MHC-II,0.308614891246901
GSE288483,GSE288483,GSM8768683_Pt2-1,Pt2-1,1833,TLS~antigen-presentation/MHC-II,0.259779567665894
GSE288483,GSE288483,GSM8768683_Pt2-1,Pt2-1,1833,TLS/mregDC co-high O/E,3.08604087901701
GSE288483,GSE288483,GSM8768684_Pt2-2,Pt2-2,2026,mregDC~TLS integrated,0.266687791304537
GSE288483,GSE288483,GSM8768684_Pt2-2,Pt2-2,2026,mregDC~TLS 12CK,0.309066805548909
GSE288483,GSE288483,GSM8768684_Pt2-2,Pt2-2,2026,mregDC~TLS imprint,0.194035748285499
GSE288483,GSE288483,GSM8768684_Pt2-2,Pt2-2,2026,mregDC~antigen-presentation/MHC-II,0.383803336324109
GSE288483,GSE288483,GSM8768684_Pt2-2,Pt2-2,2026,TLS~antigen-presentation/MHC-II,0.337582155362769
GSE288483,GSE288483,GSM8768684_Pt2-2,Pt2-2,2026,TLS/mregDC co-high O/E,2.55652891358684
GSE288483,GSE288483,GSM8768685_Pt2-3,Pt2-3,2119,mregDC~TLS integrated,0.284323153243642
GSE288483,GSE288483,GSM8768685_Pt2-3,Pt2-3,2119,mregDC~TLS 12CK,0.346460396942394
GSE288483,GSE288483,GSM8768685_Pt2-3,Pt2-3,2119,mregDC~TLS imprint,0.18873708192228
GSE288483,GSE288483,GSM8768685_Pt2-3,Pt2-3,2119,mregDC~antigen-presentation/MHC-II,0.19872762767965
GSE288483,GSE288483,GSM8768685_Pt2-3,Pt2-3,2119,TLS~antigen-presentation/MHC-II,0.173800805163487
GSE288483,GSE288483,GSM8768685_Pt2-3,Pt2-3,2119,TLS/mregDC co-high O/E,2.78170612317551
GSE288483,GSE288483,GSM8768686_Pt2-4,Pt2-4,3284,mregDC~TLS integrated,0.150524159590037
GSE288483,GSE288483,GSM8768686_Pt2-4,Pt2-4,3284,mregDC~TLS 12CK,0.161060783597546
GSE288483,GSE288483,GSM8768686_Pt2-4,Pt2-4,3284,mregDC~TLS imprint,0.125410422667664
GSE288483,GSE288483,GSM8768686_Pt2-4,Pt2-4,3284,mregDC~antigen-presentation/MHC-II,0.00785193586271886
GSE288483,GSE288483,GSM8768686_Pt2-4,Pt2-4,3284,TLS~antigen-presentation/MHC-II,0.0631691217624784
GSE288483,GSE288483,GSM8768686_Pt2-4,Pt2-4,3284,TLS/mregDC co-high O/E,2.21479845899428
