method_label	feature	clean_feature	immune_class	rho	p	n	p_adj	abs_rho
xCell	B-cells_xCell	B-cells	B/plasma	0.133791437611884	0.00562254614743915	427	0.0113181123747152	0.133791437611884
CIBERSORT	Plasma_cells_CIBERSORT	Plasma_cells	B/plasma	0.133150474210523	0.00585786842191025	427	0.0116406359666165	0.133150474210523
MCPcounter	Endothelial_cells_MCPcounter	Endothelial_cells	Stromal	0.131601626443263	0.00646342711793717	427	0.012681407636459	0.131601626443263
CIBERSORT	NK_cells_resting_CIBERSORT	NK_cells_resting	Cytotoxic T/NK	0.131228553795345	0.00661742778503652	427	0.0128212663335083	0.131228553795345
xCell	Plasma_cells_xCell	Plasma_cells	B/plasma	0.128948120772377	0.00763230925846617	427	0.0146050362353365	0.128948120772377
xCell	Memory_B-cells_xCell	Memory_B-cells	B/plasma	0.12828428325625	0.00795279241188385	427	0.0150327173639268	0.12828428325625
xCell	Megakaryocytes_xCell	Megakaryocytes	Other	0.123991941506201	0.0103306843407476	427	0.0192922418411552	0.123991941506201
CIBERSORT	T_cells_follicular_helper_CIBERSORT	T_cells_follicular_helper	T cells	0.119521082333586	0.013458283667363	427	0.0248337377195388	0.119521082333586
CIBERSORT	Eosinophils_CIBERSORT	Eosinophils	Granulocyte/mast	-0.110346486170626	0.0225791465986027	427	0.041173737915099	0.110346486170626
xCell	ly_Endothelial_cells_xCell	ly_Endothelial_cells	Stromal	-0.102031280784954	0.0350573714359049	427	0.06318479735541	0.102031280784954
xCell	cDC_xCell	cDC	APC/myeloid	0.0971054763337107	0.0449154928407413	427	0.0800218550610909	0.0971054763337107
xCell	Osteoblast_xCell	Osteoblast	Other	-0.0949514811072991	0.0499075165672417	427	0.0879052848627552	0.0949514811072991
CIBERSORT_ABS	Eosinophils_CIBERSORT	Eosinophils	Granulocyte/mast	-0.0945929543835122	0.050781837117367	427	0.0882735226344964	0.0945929543835122
xCell	Preadipocytes_xCell	Preadipocytes	Other	-0.094103941717383	0.0519949451380254	427	0.0882735226344964	0.094103941717383
quanTIseq	B_cells_quantiseq	B_cells	B/plasma	0.0939823820989506	0.0523002220466563	427	0.0882735226344964	0.0939823820989506
MCPcounter	T_cells_MCPcounter	T_cells	T cells	0.0939553361227577	0.0523946069830559	427	0.0882735226344964	0.0939553361227577
xCell	Pericytes_xCell	Pericytes	Other	0.0930236163162166	0.0547607249701705	427	0.0912678749502842	0.0930236163162166
xCell	NK_cells_xCell	NK_cells	Cytotoxic T/NK	0.0919352008225286	0.0576697637615651	427	0.0950937593940701	0.0919352008225286
xCell	mv_Endothelial_cells_xCell	mv_Endothelial_cells	Stromal	-0.081790023685762	0.0914146757985834	427	0.149150260513478	0.081790023685762
xCell	Fibroblasts_xCell	Fibroblasts	Stromal	-0.0811769427525267	0.0938778963289948	427	0.15157368678119	0.0811769427525267
xCell	CD8+_naive_T-cells_xCell	CD8+_naive_T-cells	Cytotoxic T/NK	-0.0794543544922718	0.101083523451822	427	0.161525217886932	0.0794543544922718
xCell	Neutrophils_xCell	Neutrophils	Granulocyte/mast	0.0788707131559885	0.103622160837701	427	0.163762576229331	0.0788707131559885
xCell	CD8+_Tem_xCell	CD8+_Tem	Cytotoxic T/NK	0.0786496612447306	0.104596742236798	427	0.163762576229331	0.0786496612447306
CIBERSORT_ABS	B_cells_memory_CIBERSORT	B_cells_memory	B/plasma	-0.0770621447735852	0.11181048946344	427	0.173306258668331	0.0770621447735852
CIBERSORT	Dendritic_cells_activated_CIBERSORT	Dendritic_cells_activated	APC/myeloid	-0.0755299771461343	0.119138117200269	427	0.182835724416255	0.0755299771461343
xCell	Adipocytes_xCell	Adipocytes	Other	-0.0715960999032151	0.13967042417662	427	0.212244272033099	0.0715960999032151
CIBERSORT	Mast_cells_resting_CIBERSORT	Mast_cells_resting	T cells	-0.0713422921808755	0.141082993330707	427	0.212309358895724	0.0713422921808755
xCell	Keratinocytes_xCell	Keratinocytes	Other	-0.0707553540161649	0.144391490396759	427	0.215198855879785	0.0707553540161649
xCell	NKT_xCell	NKT	Cytotoxic T/NK	-0.0699931623055274	0.148775901427846	427	0.21962156877444	0.0699931623055274
xCell	Skeletal_muscle_xCell	Skeletal_muscle	Other	-0.0679059107392337	0.161300747294455	427	0.235864300289062	0.0679059107392337
xCell	Myocytes_xCell	Myocytes	Other	0.0666068753549297	0.169486867618566	427	0.245518359634371	0.0666068753549297
