dataset,sample_id,TLS_decile,readout,value
GSE211956,GSM6506112_SP3,4,median mregDC score,-0.0765878699479513
GSE211956,GSM6506112_SP3,4,median MHC-II score,-0.149640507840389
GSE211956,GSM6506112_SP3,4,mregDC-high fraction,0.0794701986754967
GSE211956,GSM6506112_SP3,4,MHC-II-high fraction,0.0529801324503311
GSE211956,GSM6506112_SP3,4,TLS/mregDC co-high fraction,0
GSE211956,GSM6506112_SP3,5,median mregDC score,-0.0857528386553564
GSE211956,GSM6506112_SP3,5,median MHC-II score,-0.0802272005412834
GSE211956,GSM6506112_SP3,5,mregDC-high fraction,0.06
GSE211956,GSM6506112_SP3,5,MHC-II-high fraction,0.0466666666666667
GSE211956,GSM6506112_SP3,5,TLS/mregDC co-high fraction,0
GSE211956,GSM6506112_SP3,6,median mregDC score,-0.0666518464007045
GSE211956,GSM6506112_SP3,6,median MHC-II score,-0.0473720766293519
GSE211956,GSM6506112_SP3,6,mregDC-high fraction,0.06
GSE211956,GSM6506112_SP3,6,MHC-II-high fraction,0.106666666666667
GSE211956,GSM6506112_SP3,6,TLS/mregDC co-high fraction,0
GSE211956,GSM6506112_SP3,7,median mregDC score,-0.0683167389258229
GSE211956,GSM6506112_SP3,7,median MHC-II score,-0.0142278659280286
GSE211956,GSM6506112_SP3,7,mregDC-high fraction,0.0266666666666667
GSE211956,GSM6506112_SP3,7,MHC-II-high fraction,0.14
GSE211956,GSM6506112_SP3,7,TLS/mregDC co-high fraction,0
GSE211956,GSM6506112_SP3,8,median mregDC score,-0.00351292709254484
GSE211956,GSM6506112_SP3,8,median MHC-II score,0.0710002236590677
GSE211956,GSM6506112_SP3,8,mregDC-high fraction,0.146666666666667
GSE211956,GSM6506112_SP3,8,MHC-II-high fraction,0.113333333333333
GSE211956,GSM6506112_SP3,8,TLS/mregDC co-high fraction,0
GSE211956,GSM6506112_SP3,9,median mregDC score,-0.0399112679500056
GSE211956,GSM6506112_SP3,9,median MHC-II score,0.236769315809262
GSE211956,GSM6506112_SP3,9,mregDC-high fraction,0.153333333333333
GSE211956,GSM6506112_SP3,9,MHC-II-high fraction,0.14
GSE211956,GSM6506112_SP3,9,TLS/mregDC co-high fraction,0
GSE211956,GSM6506112_SP3,10,median mregDC score,0.204271220687655
GSE211956,GSM6506112_SP3,10,median MHC-II score,0.599127534347951
GSE211956,GSM6506112_SP3,10,mregDC-high fraction,0.36
GSE211956,GSM6506112_SP3,10,MHC-II-high fraction,0.366666666666667
GSE211956,GSM6506112_SP3,10,TLS/mregDC co-high fraction,0.36
GSE211956,GSM6506113_SP4,1,median mregDC score,-0.0755536449300457
GSE211956,GSM6506113_SP4,1,median MHC-II score,-0.165052787364893
GSE211956,GSM6506113_SP4,1,mregDC-high fraction,0.0930232558139535
GSE211956,GSM6506113_SP4,1,MHC-II-high fraction,0.0498338870431894
GSE211956,GSM6506113_SP4,1,TLS/mregDC co-high fraction,0
GSE211956,GSM6506113_SP4,2,median mregDC score,-0.051731345684891
GSE211956,GSM6506113_SP4,2,median MHC-II score,-0.0783631771021159
GSE211956,GSM6506113_SP4,2,mregDC-high fraction,0.122923588039867
