field_id,grid_x,grid_y,x,y,TLS_grid_mean,n_cells,n_tls_high_cells,n_cohigh_cells
172,126,35,4440.470833778381,1263.8965606689453,0.4420642802450602,14,8,0
172,127,35,4475.470833778381,1263.8965606689453,0.2192595726202762,15,7,0
183,132,35,4650.470833778381,1263.8965606689453,0.26062488269450806,13,4,0
174,151,35,5315.470833778381,1263.8965606689453,0.26932067667329984,8,3,1
174,152,35,5350.470833778381,1263.8965606689453,0.1533679329428596,8,4,0
185,175,35,6155.470833778381,1263.8965606689453,0.2148235004063019,7,2,0
180,238,35,8360.470833778381,1263.8965606689453,0.2401846496914092,6,1,0
159,276,35,9690.470833778381,1263.8965606689453,0.22061328935144345,13,5,0
159,277,35,9725.470833778381,1263.8965606689453,0.6970320457930952,10,5,0
159,278,35,9760.470833778381,1263.8965606689453,0.6283124828627471,14,5,0
181,60,36,2130.4708337783813,1298.8965606689453,0.20320028823047842,3,2,0
182,77,36,2725.4708337783813,1298.8965606689453,0.47096541868621833,7,3,0
170,107,36,3775.4708337783813,1298.8965606689453,0.15627623165043034,13,4,1
170,109,36,3845.4708337783813,1298.8965606689453,0.2717249878381915,14,6,0
189,111,36,3915.4708337783813,1298.8965606689453,0.14710481576378892,14,4,0
189,112,36,3950.4708337783813,1298.8965606689453,0.1484003281973167,11,3,1
171,119,36,4195.470833778381,1298.8965606689453,0.22074673382467036,16,8,0
171,120,36,4230.470833778381,1298.8965606689453,0.2682235689492719,8,2,0
171,122,36,4300.470833778381,1298.8965606689453,0.34478067530085377,10,2,0
183,131,36,4615.470833778381,1298.8965606689453,0.43907580450060524,10,5,0
190,155,36,5455.470833778381,1298.8965606689453,0.1948993776688016,12,5,0
191,157,36,5525.470833778381,1298.8965606689453,0.38193647184028506,13,5,1
191,158,36,5560.470833778381,1298.8965606689453,0.2356422320143089,11,2,0
185,174,36,6120.470833778381,1298.8965606689453,0.27295935999817517,6,1,0
195,189,36,6645.470833778381,1298.8965606689453,0.27660823041060567,4,2,1
195,190,36,6680.470833778381,1298.8965606689453,0.31392315003277865,10,2,0
159,276,36,9690.470833778381,1298.8965606689453,0.34249238468821336,11,3,0
159,277,36,9725.470833778381,1298.8965606689453,0.45658081587454724,7,3,0
159,278,36,9760.470833778381,1298.8965606689453,0.3961245440720998,14,3,0
159,279,36,9795.470833778381,1298.8965606689453,0.315471770009284,14,5,0
